Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-pghd-sleep-asleep-core.json	1994	5	0	0	1	0	0	0	0	50	0	0	0	0	0	0	0	4	0	0	0	138	312	0	0	0	2	0	0	2
fsh-generated/resources/Observation-pghd-sleep-episode-1.json	4738	11	0	0	0	0	0	0	2	115	0	0	0	0	0	0	0	0	0	0	0	125	1336	0	0	0	0	0	0	2
fsh-generated/resources/Observation-pghd-sleep-episode-2.json	3654	8	0	0	0	0	0	0	2	62	0	0	0	0	0	0	0	0	0	0	0	125	692	0	0	0	3	0	0	0
fsh-generated/resources/Observation-pghd-sleep-episode-core-sleep-1.json	2924	8	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	0	107	600	0	0	0	0	0	0	1
fsh-generated/resources/Observation-pghd-sleep-episode-core-sleep-2.json	2329	6	0	0	1	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	0	153	858	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-sleep-episode-deep-sleep-1.json	2924	10	0	0	0	0	0	0	3	26	1	0	0	0	0	0	0	0	0	0	0	95	466	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-sleep-episode-deep-sleep-2.json	2329	5	0	0	0	0	0	0	2	30	0	0	0	0	0	0	0	1	0	0	0	85	277	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-sleep-episode-latency-to-sleep-onset-1.json	2221	11	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	124	708	0	0	0	0	0	0	1
fsh-generated/resources/Observation-pghd-sleep-episode-latency-to-sleep-onset-2.json	2219	8	0	0	1	0	0	0	1	27	0	0	0	0	0	0	0	2	0	0	0	215	1687	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-snore-event-1.json	1599	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	353	3644	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-snore-event-2.json	1598	6	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	476	3088	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-snore-event-3.json	1599	6	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	0	257	666	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-snore-index-1.json	1694	9	0	0	0	0	0	0	1	111	0	0	0	0	0	0	0	0	0	0	0	72	748	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-snore-index-2.json	1914	7	0	0	1	0	0	0	0	47	0	0	0	0	0	0	0	8	0	0	0	83	1332	0	0	0	1	1	0	0
fsh-generated/resources/Observation-pghd-symptom-fever.json	1984	12	0	0	0	0	0	0	2	52	0	0	0	0	0	0	0	4	0	0	0	90	722	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-testresult-forced-vital-capacity.json	1940	6	0	0	0	0	0	0	1	13	0	0	0	2	0	0	0	0	0	0	0	91	279	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-uvexposure.json	1851	8	0	0	0	0	0	0	1	17	0	0	0	1	0	0	0	0	0	0	0	103	565	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-vitalsigns-apple-sleeping-wrist-temperature.json	1928	14	0	0	1	0	0	0	8	21	0	0	0	0	0	0	0	1	0	0	0	70	271	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-voltage-measurement.json	286516	20	0	0	0	0	0	0	0	139	0	0	0	1	0	0	0	7	0	0	0	2736	3705	0	0	0	0	0	0	2
